origin,destination,distance
18,24,926.6267
18,25,132.7684
19,1,1590.224
19,2,1999.584
19,3,2299.429
19,4,1447.104
19,5,1570.725
19,6,1743.432
19,7,895.0908
19,8,593.4216
19,9,1682.489
19,10,1017.332
19,11,1048.539
19,12,358.3762
19,13,1265.573
19,14,1977.613
19,15,1280.737
19,16,1304.043
19,17,2143.565
19,18,2082.316
19,19,0.0
19,20,1814.83
19,21,1264.193
19,22,661.6543
19,23,1129.327
19,24,1800.098
19,25,1968.689
20,1,527.3008
20,2,210.7656
20,3,494.2224
20,4,403.8657
20,5,255.6551
20,6,104.6478
20,7,1049.266
20,8,1301.511
20,9,198.9058
20,10,1125.041
20,11,768.1641
20,12,2125.512
20,13,651.1179
20,14,1015.165
20,15,728.3743
20,16,918.5615
20,17,328.7515
20,18,273.4106
20,19,1814.83
20,20,0.0
20,21,552.4229
20,22,2253.211
20,23,2128.828
20,24,875.2542
20,25,194.5945
21,1,483.4673
21,2,736.3755
21,3,1043.484
21,4,255.8823
21,5,307.3289
21,6,491.1125
21,7,537.6206
21,8,780.9512
21,9,450.2585
21,10,677.0608
21,11,229.4867
21,12,1582.369
21,13,254.9977
21,14,1065.599
21,15,450.3982
21,16,601.9917
21,17,880.5469
21,18,818.1228
21,19,1264.193
21,20,552.4229
21,21,0.0
21,22,1735.937
21,23,1712.136
21,24,871.6396
21,25,706.5024
22,1,2140.978
22,2,2456.263
22,3,2703.402
22,4,1853.617
22,5,2036.128
22,6,2164.855
22,7,1493.843
22,8,955.802
22,9,2086.845
22,10,1649.619
22,11,1506.451
22,12,361.5388
22,13,1808.52
22,14,2591.447
22,15,1589.835
22,16,1916.578
22,17,2574.082
22,18,2526.562
22,19,661.6543
22,20,2253.211
22,21,1735.937
22,22,0.0
22,23,694.9363
22,24,2404.839
22,25,2430.269
23,1,2184.402
23,2,2339.509
23,3,2503.828
23,4,1733.132
23,5,1967.256
23,6,2027.319
23,7,1686.675
23,8,1024.566
23,9,1936.304
23,10,1891.166
23,11,1503.794
23,12,986.8149
23,13,1872.696
23,14,2725.79
23,15,1401.321
23,16,2090.089
23,17,2415.489
23,18,2388.689
23,19,1129.327
23,20,2128.828
23,21,1712.136
23,22,694.9363
23,23,0.0
23,24,2528.479
23,25,2321.873
24,1,408.1648
24,2,844.1663
24,3,1188.549
24,4,1005.761
24,5,775.239
24,6,933.196
24,7,912.2104
24,8,1519.174
24,9,992.3379
24,10,795.2136
24,11,1038.624
24,12,2157.517
24,13,660.5173
24,14,197.8015
24,15,1311.21
24,16,496.4224
24,17,1008.2
24,18,926.6267
24,19,1800.098
24,20,875.2542
24,21,871.6396
24,22,2404.839
24,23,2528.479
24,24,0.0
24,25,813.5513
25,1,540.7388
25,2,36.4947
25,3,405.7886
25,4,592.0278
25,5,399.2253
25,6,298.8486
25,7,1161.676
25,8,1475.479
25,9,392.9045
25,10,1205.747
25,11,931.7148
25,12,2288.748
25,13,751.4614
25,14,923.2229
25,15,922.3145
25,16,963.0435
25,17,215.561
25,18,132.7684
25,19,1968.689
25,20,194.5945
25,21,706.5024
25,22,2430.269
25,23,2321.873
25,24,813.5513
25,25,0.0
